ID,race_eth_cat,sex,alpha_rho,beta_rho,num_trees,seed,iter,thin,warmup,sigma2_beta,sigma2_beta_update_freq,beta_acc_prob,n_min,alpha_sigma,beta_sigma,moves,move_probs
124,'NHW','F',0.3,3,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
125,'NHW','F',0.3,3,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
126,'NHW','F',0.3,3,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
127,'NHW','F',0.3,3,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
128,'NHW','F',0.3,3,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
129,'NHW','F',0.3,3,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
130,'NHW','F',0.3,3,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
131,'NHW','F',0.95,2,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
132,'NHW','F',0.95,2,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
133,'NHW','F',0.95,2,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
134,'NHW','F',0.95,2,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
135,'NHW','F',0.95,2,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
136,'NHW','F',0.95,2,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
137,'NHW','F',0.95,2,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
138,'NHW','F',0.95,2,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
139,'NHW','F',0.95,2,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
140,'NHW','F',0.95,2,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
141,'NHW','M',0.3,3,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
142,'NHW','M',0.3,3,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
143,'NHW','M',0.3,3,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
144,'NHW','M',0.3,3,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
145,'NHW','M',0.3,3,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
146,'NHW','M',0.3,3,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
147,'NHW','M',0.3,3,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
148,'NHW','M',0.3,3,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
149,'NHW','M',0.3,3,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
150,'NHW','M',0.3,3,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
151,'NHW','M',0.95,2,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
152,'NHW','M',0.95,2,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
153,'NHW','M',0.95,2,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
154,'NHW','M',0.95,2,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
155,'NHW','M',0.95,2,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
156,'NHW','M',0.95,2,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
157,'NHW','M',0.95,2,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
158,'NHW','M',0.95,2,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
159,'NHW','M',0.95,2,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
160,'NHW','M',0.95,2,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
161,'Other','F',0.3,3,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
162,'Other','F',0.3,3,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
163,'Other','F',0.3,3,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
164,'Other','F',0.3,3,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
165,'Other','F',0.3,3,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
166,'Other','F',0.3,3,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
167,'Other','F',0.3,3,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
168,'Other','F',0.3,3,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
169,'Other','F',0.3,3,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
170,'Other','F',0.3,3,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
171,'Other','F',0.95,2,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
172,'Other','F',0.95,2,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
173,'Other','F',0.95,2,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
174,'Other','F',0.95,2,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
175,'Other','F',0.95,2,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
176,'Other','F',0.95,2,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
177,'Other','F',0.95,2,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
178,'Other','F',0.95,2,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
179,'Other','F',0.95,2,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
180,'Other','F',0.95,2,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
181,'Other','M',0.3,3,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
182,'Other','M',0.3,3,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
183,'Other','M',0.3,3,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
184,'Other','M',0.3,3,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
185,'Other','M',0.3,3,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
186,'Other','M',0.3,3,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
187,'Other','M',0.3,3,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
188,'Other','M',0.3,3,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
189,'Other','M',0.3,3,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
190,'Other','M',0.3,3,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
191,'Other','M',0.95,2,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
192,'Other','M',0.95,2,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
193,'Other','M',0.95,2,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
194,'Other','M',0.95,2,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
195,'Other','M',0.95,2,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
196,'Other','M',0.95,2,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
